y	x	slope	std.slope	P.slope	intercept	std.intercept	P.intercept	adj.r.squared
log_genome	log_svratio	0.0665449661709929	0.0132071372224434	5.3204943673002e-07	6.46190059950816	0.0690681026560055	0	0.0175903950164882
log_genome	log_volume	0.0250333967884202	0.00453335634537567	4.00848105819307e-08	6.40822807681302	0.0679176128995135	0	0.021195204802
log_proteins	log_svratio	0.0655957684082187	0.0131189130033374	6.4763573637272e-07	3.4504758345558	0.0686067248934123	0	0.0173166676904237
log_proteins	log_volume	0.024186704643863	0.00450515081049002	9.3153678104585e-08	3.39744457016001	0.0674950446180808	0	0.0200188878781141
arc_gc	log_svratio	-0.00354319170196962	0.00682872645208438	0.603938775145828	0.748469111493463	0.0357115377586036	0	-0.00053683607072927
arc_gc	log_volume	-0.00108465214794243	0.00234832420538188	0.644238701944063	0.751389947219468	0.0351820069265849	0	-0.000577913566614774
arc_coding	log_svratio	-0.00775283088046722	0.00493593232306269	0.116486577848996	1.22951820063608	0.0258129732924301	0	0.00107598806077723
arc_coding	log_volume	-0.00363393727082001	0.00169605792896429	0.0323239088493985	1.23558915355508	0.0254099164280459	0	0.00262936971050391
rrnas	log_svratio	-0.218121387025521	0.315814353858988	0.489894920385525	1.61026335333197	1.6515841279748	0.329742877868631	-0.000384130019057832
rrnas	log_volume	-0.0481067994394709	0.108614069505971	0.657897611763483	1.79481166161131	1.62722887109288	0.270227969506168	-0.000590529365083535
ENCprime	log_svratio	0.00573116170101529	0.00647604413674155	0.376324390256367	0.0890583820982577	0.0338671487777984	0.00864389901793938	-0.000159212232971445
ENCprime	log_volume	0.000957924663959472	0.00222748423968885	0.667228962805773	0.0841316327222256	0.0333716127313212	0.0118138745824037	-0.000598786305807385
