taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	kingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime	hash	topt
taxid14	10.000000000000002	0.4898979485566356	1.854174396229992	15.39059796194237	rod-shaped	Dictyoglomus thermophilum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria	species	G000020965	1959987.0	33.74	1890.0	93.7772546450563	2.0	-0.0644293985559321	0.0302048386939695	0.58	78.0
taxid23	1.5	0.7	0.4874704600820161	3.2986722862692828	rod-shaped	Shewanella colwelliana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000518705	4575622.0	45.39	4094.0	87.38313610695988	0.0	-0.653363230736463	0.248986519385154	1.25	25.0
taxid104	1.0392304845413265	0.34641016151377546	0.08706236948324246	1.1309733552923256	ring-shaped	Cyclobacterium marinum	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	species	G000222485	6221273.0	38.15	5114.0	87.1213174538394	3.0	-0.200637839820349	0.102721805908089	1.33	25.0
taxid120	1.284523257866513	1.284523257866513	1.1097484283266326	5.18362787842316	spherical	Planctopirus limnophila	Planctopirus	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	species	G000092105	5460085.0	53.68	4288.0	85.07576347254667	2.0	-0.24440061970981	0.0927114737337082	1.5	31.0
taxid128	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948966	spherical	Isosphaera pallida	Isosphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria	species	G000186345	5529304.0	62.49	3792.0	84.79088869051151	3.0	-0.0660777714512351	0.0273066351457804	1.31	41.0
taxid154	28.28427124746191	0.22360679774997896	1.107793728401658	19.869176531592203	helical	Spirochaeta thermophila	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	N949	2516433.5	61.40000000000001	2270.5	94.22615785125471	2.0	-0.0507294052662155	0.0232046342126976	1.24	67.0
taxid167	5.656854249492381	0.3	0.392790880963676	5.33145952579004	helical	Treponema succinifaciens	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000195275	2897425.0	39.13	2753.0	90.0514077154715	4.0	-0.37230726093135497	0.153254817404854	1.36	37.0
taxid927	1.224744871391589	0.3872983346207417	0.12907768585830864	1.490188239869415	rod-shaped	Halothiobacillus neapolitanus	Halothiobacillus	Halothiobacillaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000024765	2582886.0	54.71	2416.0	89.93997412197054	2.0	-0.30949485852402897	0.134931154528443	1.59	30.0
taxid940	2.449489742783178	0.3872983346207417	0.2733645417515184	2.98037647973883	rod-shaped	Hydrogenobacter thermophilus	Hydrogenobacter	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria	species	N2767	1743033.5	44.0	1903.5	96.89960123433052	1.0	-0.02567432129178835	0.0100909571241698	0.37	72.5
taxid979	2.7386127875258306	0.5656854249492381	0.6408977138051014	4.866934411168336	rod-shaped	Cellulophaga lytica	Cellulophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000190595	3765936.0	32.11	3303.0	91.38046955657238	4.0	-0.227453823495087	0.107193902278115	2.3	26.0
taxid983	3.1622776601683795	0.5916079783099616	0.8150675609686346	5.877381679269497	rod-shaped	Flavobacterium flevense	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	genus	N8152	3800950.0	34.599999999999994	3342.0	89.96040755237209	1.0	-0.49353374739399297	0.2033681146209545	0.08	22.5
