taxid	sources	length_ranges	width_ranges	length	width	volume	surface	spherical_equivalent_diameter	svratio	vsratio	log_vsratio	species	genus	family	order	class	phylum	kingdom	genome	genome_size	gc	proteins	coding	rrnas	ENCprime
taxid11	bacdive	1.5,  3.75	0.75,  1.5	2.3717082451262845	1.0606601717798212	1.7831870057271044	7.902916572420815	1.504525049193086	4.431905653775419	0.22563657219285058	-0.6465905065757778	Cellulomonas gilvus	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	G000218545	3526441.0	73.81	3206.0	91.77278167988632	2.0	91.77278167988632
taxid14	bacdive	5.0,  20.0	0.4,  0.6	9.999999999999998	0.4898979485566356	1.854174396229992	15.39059796194237	1.5242305169222716	8.30051261264063	0.12047448713915894	-0.9191049138178504	Dictyoglomus thermophilum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria	G000020965	1959987.0	33.74	1890.0	93.77725464505632	2.0	93.77725464505632
taxid23	bacdive	1.5,  1.5	0.7,  0.7	1.5	0.7	0.4874704600820161	3.2986722862692828	0.9764497389802923	6.766917293233084	0.14777777777777773	-0.8303908684722392	Shewanella colwelliana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	G000518705	4575622.0	45.39	4094.0	87.38313610695988	0.0	87.38313610695988
taxid104	bacdive	0.9,  1.2	0.3,  0.4	1.0392304845413265	0.3464101615137754	0.0870623694832424	1.1309733552923251	0.5498918547994409	12.990381056766582	0.07698003589195009	-1.1136218907515314	Cyclobacterium marinum	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	G000222485	6221273.0	38.15	5114.0	87.12131745383942	3.0	87.12131745383942
taxid114	bm4	1.4,  3.0	1.4,  3.0	2.04939015319192	2.04939015319192	4.5068443347248985	13.194689145077138	2.04939015319192	2.9277002188456	0.34156502553198653	-0.4665266051846935	Gemmata obscuriglobus	Gemmata	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria	G000171775	9161841.0	67.18	8067.0	84.0831880841416	3.0	84.0831880841416
taxid119	bm4	0.7,  1.8	0.7,  1.8	1.1224972160321824	1.1224972160321824	0.7405500915879567	3.95840674352314	1.1224972160321824	5.345224838248489	0.187082869338697	-0.7279659778248624	Rubinisphaera brasiliensis	Rubinisphaera	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	G000165715	6006602.0	56.45	4860.0	86.27536833637389	2.0	86.27536833637389
taxid120	bm4	1.1,  1.5	1.1,  1.5	1.284523257866513	1.284523257866513	1.1097484283266326	5.183627878423159	1.284523257866513	4.670993664969139	0.2140872096444188	-0.6694092782766905	Planctopirus limnophila	Planctopirus	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	G000092105	5460085.0	53.68	4288.0	85.07576347254667	2.0	85.07576347254667
taxid122	bm4	1.0,  1.5	1.0,  1.5	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	1.224744871391589	4.8989794855663575	0.20412414523193145	-0.6901056208558032	Gimesia maris	Gimesia	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	G000181475	7777997.0	50.45	6071.0	86.99328374644526	2.0	86.99328374644526
taxid124	bm4	1.0,  2.0	0.7,  1.5	1.414213562373095	1.0246950765959597	0.8845790003462648	4.552600272623069	1.1910024849358063	5.146629380576492	0.19430192579516703	-0.7115228949325408	Blastopirellula marina	Blastopirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria	G000153105	6663851.0	57.04	5421.0	87.14298984175967	1.0	87.14298984175967
taxid125	bm4	1.0,  5.0	0.5,  3.0	2.23606797749979	1.2247448713915892	2.1533493378295736	8.603605814318218	1.6021578042203628	3.9954528803905336	0.25028451841040245	-0.6015660132638321	Pirellula staleyi	Pirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria	G000025185	6196199.0	57.46	4719.0	86.33825350025072	1.0	86.33825350025072
taxid128	bm4	2.0,  2.5	2.0,  2.5	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948964	2.23606797749979	2.683281572999747	0.37267799624996506	-0.4286662482156341	Isosphaera pallida	Isosphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria	G000186345	5529304.0	62.49	3792.0	84.79088869051151	3.0	84.79088869051151
taxid139	bm4	4.0,  30.0	0.2,  0.3	10.95445115010332	0.2449489742783178	0.5123686993686072	8.429777677248868	0.9927989812243974	16.452561773654203	0.060780808104991826	-1.21623353010001	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria							
taxid140	bm4	8.0,  18.0	0.3,  0.6	11.999999999999996	0.4242640687119284	1.6764670597167743	15.99437857737011	1.4738913410018544	9.540526600070645	0.1048160171779821	-0.979572346736912	Borrelia hermsii	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria							
